"group","start_date","end_date","duration_days","pctile","indivID"
1,2021-06-13,2021-06-14,2,85,"Washington"
2,2021-06-18,2021-06-18,1,85,"Washington"
3,2021-06-21,2021-07-06,16,85,"Washington"
4,2021-07-09,2021-07-14,6,85,"Washington"
5,2021-07-18,2021-07-18,1,85,"Washington"
1,2021-06-13,2021-06-14,2,90,"Washington"
2,2021-06-21,2021-07-04,14,90,"Washington"
3,2021-07-06,2021-07-06,1,90,"Washington"
4,2021-07-10,2021-07-14,5,90,"Washington"
1,2021-06-13,2021-06-13,1,95,"Washington"
2,2021-06-22,2021-06-22,1,95,"Washington"
3,2021-06-25,2021-07-01,7,95,"Washington"
4,2021-07-03,2021-07-03,1,95,"Washington"
5,2021-07-06,2021-07-06,1,95,"Washington"
6,2021-07-10,2021-07-10,1,95,"Washington"
7,2021-07-12,2021-07-12,1,95,"Washington"
8,2021-07-14,2021-07-14,1,95,"Washington"
